leaid11,STNAM,ALL_COHORT_1112,ALL_RATE_1112,GreaterThan90
401460,ARIZONA,557,87,0
401600,ARIZONA,102,92,1
401740,ARIZONA,775,76,0
401760,ARIZONA,413,95,1
401810,ARIZONA,29,30,0
401870,ARIZONA,2606,93,1
401940,ARIZONA,290,47,0
402110,ARIZONA,1,NA,1
402320,ARIZONA,324,72,0
402530,ARIZONA,348,82,0
402600,ARIZONA,35,84.5,0
402690,ARIZONA,1464,84,0
402860,ARIZONA,692,77,0
402920,ARIZONA,496,79,0
403010,ARIZONA,378,86,0
403040,ARIZONA,189,87,0
403080,ARIZONA,21,80,0
403200,ARIZONA,34,54.5,0
403290,ARIZONA,152,67,0
403310,ARIZONA,45,64.5,0
403400,ARIZONA,3049,87,0
403450,ARIZONA,3223,88,0
403500,ARIZONA,102,87,0
403550,ARIZONA,21,69.5,0
403730,ARIZONA,22,69.5,0
403780,ARIZONA,651,86,0
403820,ARIZONA,167,82,0
403870,ARIZONA,383,85,0
403950,ARIZONA,72,62,0
403990,ARIZONA,190,72,0
404010,ARIZONA,29,80,0
404060,ARIZONA,177,82,0
404280,ARIZONA,513,80,0
404410,ARIZONA,21,80,0
404570,ARIZONA,93,77,0
404630,ARIZONA,870,82,0
404720,ARIZONA,370,76,0
404820,ARIZONA,32,74.5,0
404970,ARIZONA,4473,75,0
405030,ARIZONA,66,77,0
405070,ARIZONA,316,83,0
405320,ARIZONA,77,92,1
405530,ARIZONA,430,83,0
405820,ARIZONA,210,77,0
405930,ARIZONA,2452,88,0
405980,ARIZONA,155,67,0
406030,ARIZONA,21,69.5,0
406070,ARIZONA,169,82,0
406250,ARIZONA,2719,93,1
406330,ARIZONA,5653,75,0
406440,ARIZONA,56,90,1
406580,ARIZONA,204,77,0
406730,ARIZONA,436,84,0
406740,ARIZONA,108,67,0
406810,ARIZONA,361,90,1
406850,ARIZONA,35,84.5,0
406870,ARIZONA,101,57,0
406960,ARIZONA,103,52,0
407130,ARIZONA,99,77,0
407170,ARIZONA,67,87,0
407240,ARIZONA,222,70,0
407300,ARIZONA,390,78,0
407430,ARIZONA,8,50,0
407520,ARIZONA,259,80,0
407530,ARIZONA,108,67,0
407570,ARIZONA,2149,90,1
407630,ARIZONA,23,69.5,0
407700,ARIZONA,193,87,0
407750,ARIZONA,2537,91,1
407820,ARIZONA,156,92,1
408020,ARIZONA,28,80,0
408080,ARIZONA,93,87,0
408170,ARIZONA,1050,73,0
408230,ARIZONA,38,90,1
408280,ARIZONA,70,92,1
408340,ARIZONA,3267,88,0
408410,ARIZONA,108,92,1
408520,ARIZONA,2162,81,0
408600,ARIZONA,66,92,1
408680,ARIZONA,199,62,0
408800,ARIZONA,3431,80,0
408850,ARIZONA,726,92,1
408910,ARIZONA,43,84.5,0
409160,ARIZONA,182,57,0
409190,ARIZONA,182,87,0
409250,ARIZONA,103,82,0
409310,ARIZONA,56,84.5,0
409430,ARIZONA,225,69,0
409460,ARIZONA,199,82,0
409630,ARIZONA,2545,77,0
409733,ARIZONA,133,82,0
500001,ARKANSAS,90,82,0
500006,ARKANSAS,105,92,1
500009,ARKANSAS,80,82,0
500012,ARKANSAS,61,95,1
500015,ARKANSAS,331,78,0
500016,ARKANSAS,60,90,1
500017,ARKANSAS,180,77,0
500019,ARKANSAS,202,88,0
500020,ARKANSAS,36,90,1
500021,ARKANSAS,37,90,1
500023,ARKANSAS,112,87,0
500026,ARKANSAS,320,72,0
500028,ARKANSAS,128,87,0
500029,ARKANSAS,103,72,0
500030,ARKANSAS,36,90,1
500032,ARKANSAS,48,90,1
500041,ARKANSAS,38,90,1
500042,ARKANSAS,129,87,0
500043,ARKANSAS,317,85,0
500044,ARKANSAS,219,91,1
500045,ARKANSAS,71,87,0
500046,ARKANSAS,65,87,0
500047,ARKANSAS,99,87,0
500048,ARKANSAS,63,72,0
500049,ARKANSAS,159,87,0
500051,ARKANSAS,38,74.5,0
500065,ARKANSAS,56,90,1
500067,ARKANSAS,56,90,1
500068,ARKANSAS,52,74.5,0
500070,ARKANSAS,55,90,1
500071,ARKANSAS,30,80,0
500072,ARKANSAS,29,80,0
500073,ARKANSAS,57,90,1
500076,ARKANSAS,64,92,1
500079,ARKANSAS,74,87,0
502250,ARKANSAS,252,90,1
502280,ARKANSAS,50,74.5,0
502430,ARKANSAS,137,82,0
502550,ARKANSAS,29,80,0
502580,ARKANSAS,105,92,1
502610,ARKANSAS,64,77,0
502670,ARKANSAS,41,90,1
502700,ARKANSAS,81,92,1
502730,ARKANSAS,60,84.5,0
502790,ARKANSAS,105,92,1
502820,ARKANSAS,38,84.5,0
502880,ARKANSAS,240,83,0
502960,ARKANSAS,330,92,1
503030,ARKANSAS,105,92,1
503060,ARKANSAS,798,85,0
503090,ARKANSAS,66,87,0
503150,ARKANSAS,126,67,0
503240,ARKANSAS,75,92,1
503300,ARKANSAS,59,84.5,0
503320,ARKANSAS,215,72,0
503420,ARKANSAS,37,74.5,0
503450,ARKANSAS,103,92,1
503480,ARKANSAS,33,90,1
503510,ARKANSAS,28,80,0
503630,ARKANSAS,75,87,0
503640,ARKANSAS,102,87,0
503690,ARKANSAS,581,80,0
503710,ARKANSAS,65,87,0
503750,ARKANSAS,715,87,0
503770,ARKANSAS,44,84.5,0
503840,ARKANSAS,23,80,0
503960,ARKANSAS,60,90,1
504020,ARKANSAS,115,82,0
504050,ARKANSAS,114,82,0
504080,ARKANSAS,86,92,1
504110,ARKANSAS,81,92,1
504170,ARKANSAS,36,90,1
504200,ARKANSAS,75,92,1
504350,ARKANSAS,45,84.5,0
504370,ARKANSAS,40,90,1
504380,ARKANSAS,132,92,1
504410,ARKANSAS,110,92,1
504560,ARKANSAS,27,80,0
504590,ARKANSAS,626,86,0
504680,ARKANSAS,39,74.5,0
504740,ARKANSAS,30,80,0
504800,ARKANSAS,150,77,0
504860,ARKANSAS,41,84.5,0
504890,ARKANSAS,69,92,1
504930,ARKANSAS,112,82,0
504980,ARKANSAS,30,80,0
505170,ARKANSAS,41,84.5,0
505190,ARKANSAS,48,90,1
505340,ARKANSAS,28,80,0
505410,ARKANSAS,136,72,0
505430,ARKANSAS,96,82,0
505470,ARKANSAS,66,82,0
505500,ARKANSAS,110,87,0
505550,ARKANSAS,74,82,0
505580,ARKANSAS,52,90,1
505680,ARKANSAS,385,82,0
505760,ARKANSAS,86,92,1
505850,ARKANSAS,69,87,0
505970,ARKANSAS,38,74.5,0
506060,ARKANSAS,197,82,0
506090,ARKANSAS,154,95,1
506120,ARKANSAS,619,87,0
506150,ARKANSAS,53,90,1
506210,ARKANSAS,72,92,1
506240,ARKANSAS,54,84.5,0
506270,ARKANSAS,250,76,0
506330,ARKANSAS,1004,72,0
506360,ARKANSAS,60,90,1
506420,ARKANSAS,93,87,0
506540,ARKANSAS,84,82,0
506630,ARKANSAS,62,87,0
506690,ARKANSAS,81,92,1
506840,ARKANSAS,137,87,0
506870,ARKANSAS,99,77,0
506900,ARKANSAS,215,91,1
506930,ARKANSAS,69,87,0
506990,ARKANSAS,280,96,1
507110,ARKANSAS,72,87,0
507140,ARKANSAS,31,90,1
507170,ARKANSAS,59,90,1
507230,ARKANSAS,54,84.5,0
507290,ARKANSAS,97,92,1
507320,ARKANSAS,80,92,1
507350,ARKANSAS,120,77,0
507380,ARKANSAS,188,82,0
507410,ARKANSAS,32,90,1
507530,ARKANSAS,52,84.5,0
507560,ARKANSAS,126,87,0
507620,ARKANSAS,47,84.5,0
507680,ARKANSAS,182,72,0
507710,ARKANSAS,44,84.5,0
507740,ARKANSAS,52,84.5,0
507770,ARKANSAS,118,92,1
507840,ARKANSAS,161,77,0
507860,ARKANSAS,67,95,1
507890,ARKANSAS,272,68,0
507920,ARKANSAS,81,82,0
507990,ARKANSAS,65,92,1
508010,ARKANSAS,43,74.5,0
508040,ARKANSAS,435,74,0
508130,ARKANSAS,180,92,1
508240,ARKANSAS,65,95,1
508280,ARKANSAS,378,83,0
508340,ARKANSAS,60,84.5,0
508400,ARKANSAS,69,95,1
508490,ARKANSAS,42,84.5,0
508610,ARKANSAS,293,91,1
508640,ARKANSAS,78,82,0
508670,ARKANSAS,224,94,1
508700,ARKANSAS,102,82,0
508730,ARKANSAS,62,95,1
508940,ARKANSAS,91,87,0
509000,ARKANSAS,1641,82,0
509060,ARKANSAS,128,87,0
509150,ARKANSAS,47,90,1
509190,ARKANSAS,48,90,1
509240,ARKANSAS,126,87,0
509270,ARKANSAS,42,90,1
509330,ARKANSAS,81,92,1
509360,ARKANSAS,112,72,0
509390,ARKANSAS,286,89,0
509420,ARKANSAS,40,74.5,0
509480,ARKANSAS,57,90,1
509510,ARKANSAS,41,64.5,0
509540,ARKANSAS,71,92,1
509570,ARKANSAS,44,90,1
509600,ARKANSAS,38,90,1
509630,ARKANSAS,69,82,0
509720,ARKANSAS,61,95,1
509750,ARKANSAS,145,92,1
509780,ARKANSAS,37,90,1
509840,ARKANSAS,168,92,1
509990,ARKANSAS,39,90,1
510080,ARKANSAS,36,74.5,0
510170,ARKANSAS,37,74.5,0
510200,ARKANSAS,107,92,1
510260,ARKANSAS,49,90,1
510290,ARKANSAS,34,84.5,0
510320,ARKANSAS,69,82,0
510380,ARKANSAS,141,92,1
510410,ARKANSAS,29,80,0
510440,ARKANSAS,208,90,1
510560,ARKANSAS,37,90,1
510620,ARKANSAS,26,69.5,0
510680,ARKANSAS,587,73,0
510920,ARKANSAS,37,74.5,0
510950,ARKANSAS,109,82,0
510980,ARKANSAS,30,80,0
511010,ARKANSAS,148,92,1
511070,ARKANSAS,51,84.5,0
511130,ARKANSAS,81,87,0
511220,ARKANSAS,59,84.5,0
511340,ARKANSAS,86,82,0
511370,ARKANSAS,66,87,0
511610,ARKANSAS,124,87,0
511700,ARKANSAS,116,92,1
511730,ARKANSAS,39,84.5,0
511760,ARKANSAS,127,87,0
511820,ARKANSAS,90,87,0
511850,ARKANSAS,1217,66,0
511880,ARKANSAS,38,84.5,0
511970,ARKANSAS,1032,83,0
512000,ARKANSAS,68,77,0
512060,ARKANSAS,419,82,0
512090,ARKANSAS,61,95,1
512180,ARKANSAS,36,90,1
512210,ARKANSAS,269,87,0
512420,ARKANSAS,31,84.5,0
512450,ARKANSAS,261,88,0
512480,ARKANSAS,56,84.5,0
512510,ARKANSAS,73,92,1
512520,ARKANSAS,191,82,0
512540,ARKANSAS,109,92,1
512570,ARKANSAS,46,84.5,0
512630,ARKANSAS,48,90,1
512660,ARKANSAS,1251,82,0
512870,ARKANSAS,28,69.5,0
512930,ARKANSAS,57,90,1
512960,ARKANSAS,156,82,0
513080,ARKANSAS,211,93,1
513110,ARKANSAS,270,81,0
513230,ARKANSAS,53,90,1
513350,ARKANSAS,62,87,0
513380,ARKANSAS,147,92,1
513410,ARKANSAS,402,87,0
513530,ARKANSAS,231,91,1
513560,ARKANSAS,21,80,0
513680,ARKANSAS,125,82,0
513930,ARKANSAS,220,83,0
514010,ARKANSAS,92,87,0
514020,ARKANSAS,42,90,1
514040,ARKANSAS,35,90,1
514140,ARKANSAS,237,85,0
514370,ARKANSAS,31,90,1
514400,ARKANSAS,47,90,1
514430,ARKANSAS,226,88,0
514490,ARKANSAS,72,92,1
600001,CALIFORNIA,166,82,0
600009,CALIFORNIA,7,50,0
600011,CALIFORNIA,32,84.5,0
600013,CALIFORNIA,918,93,1
600014,CALIFORNIA,1768,83,0
600015,CALIFORNIA,61,72,0
600016,CALIFORNIA,936,94,1
600017,CALIFORNIA,1107,80,0
600018,CALIFORNIA,26,80,0
600019,CALIFORNIA,417,92,1
600020,CALIFORNIA,1246,96,1
600022,CALIFORNIA,151,87,0
600025,CALIFORNIA,591,97,1
600026,CALIFORNIA,99,77,0
600027,CALIFORNIA,1643,90,1
600028,CALIFORNIA,2338,93,1
600029,CALIFORNIA,1903,92,1
600032,CALIFORNIA,660,92,1
600033,CALIFORNIA,184,87,0
600034,CALIFORNIA,433,89,0
600035,CALIFORNIA,181,82,0
600036,CALIFORNIA,987,86,0
600037,CALIFORNIA,35,90,1
600038,CALIFORNIA,99,67,0
600039,CALIFORNIA,181,95,1
600040,CALIFORNIA,143,95,1
600042,CALIFORNIA,12,50,0
600043,CALIFORNIA,180,95,1
600044,CALIFORNIA,208,90,1
600045,CALIFORNIA,173,92,1
600046,CALIFORNIA,166,87,0
600047,CALIFORNIA,1520,87,0
600048,CALIFORNIA,562,86,0
600049,CALIFORNIA,49,90,1
600051,CALIFORNIA,183,82,0
600052,CALIFORNIA,377,90,1
600060,CALIFORNIA,189,87,0
600061,CALIFORNIA,189,82,0
600062,CALIFORNIA,461,89,0
600063,CALIFORNIA,151,92,1
600064,CALIFORNIA,1485,81,0
600065,CALIFORNIA,508,95,1
600067,CALIFORNIA,117,92,1
600068,CALIFORNIA,146,82,0
600069,CALIFORNIA,315,96,1
600116,CALIFORNIA,88,87,0
600153,CALIFORNIA,1935,92,1
600158,CALIFORNIA,1056,89,0
600159,CALIFORNIA,42,90,1
600160,CALIFORNIA,268,90,1
601331,CALIFORNIA,93,95,1
601332,CALIFORNIA,1810,72,0
601620,CALIFORNIA,1671,92,1
601650,CALIFORNIA,1331,98,1
601770,CALIFORNIA,880,85,0
601860,CALIFORNIA,337,91,1
602010,CALIFORNIA,23,49.5,0
602070,CALIFORNIA,4,NA,1
602430,CALIFORNIA,1392,79,0
602450,CALIFORNIA,337,92,1
602630,CALIFORNIA,5387,82,0
602670,CALIFORNIA,586,91,1
602700,CALIFORNIA,555,81,0
602730,CALIFORNIA,48,74.5,0
602820,CALIFORNIA,5242,78,0
602850,CALIFORNIA,1562,74,0
602970,CALIFORNIA,954,98,1
603030,CALIFORNIA,378,93,1
603300,CALIFORNIA,436,94,1
603600,CALIFORNIA,722,92,1
603610,CALIFORNIA,14,50,0
603690,CALIFORNIA,1095,88,0
603840,CALIFORNIA,272,80,0
604020,CALIFORNIA,438,68,0
604110,CALIFORNIA,305,89,0
604230,CALIFORNIA,231,89,0
604290,CALIFORNIA,551,87,0
604440,CALIFORNIA,1129,87,0
604620,CALIFORNIA,434,95,1
604740,CALIFORNIA,929,83,0
604830,CALIFORNIA,530,93,1
604950,CALIFORNIA,19,80,0
605010,CALIFORNIA,19,80,0
605040,CALIFORNIA,44,84.5,0
605240,CALIFORNIA,153,95,1
605610,CALIFORNIA,906,97,1
605700,CALIFORNIA,36,64.5,0
605820,CALIFORNIA,403,89,0
605880,CALIFORNIA,550,95,1
605940,CALIFORNIA,194,95,1
606450,CALIFORNIA,1404,93,1
606580,CALIFORNIA,15,50,0
606780,CALIFORNIA,242,86,0
606870,CALIFORNIA,291,91,1
606900,CALIFORNIA,718,79,0
606990,CALIFORNIA,76,92,1
607020,CALIFORNIA,64,67,0
607230,CALIFORNIA,1734,88,0
607440,CALIFORNIA,3920,97,1
607500,CALIFORNIA,739,93,1
607530,CALIFORNIA,197,92,1
607560,CALIFORNIA,198,87,0
607800,CALIFORNIA,760,96,1
607900,CALIFORNIA,410,84,0
607920,CALIFORNIA,1769,65,0
607970,CALIFORNIA,1008,77,0
608010,CALIFORNIA,999,84,0
608130,CALIFORNIA,851,86,0
608160,CALIFORNIA,6335,85,0
608190,CALIFORNIA,490,95,1
608370,CALIFORNIA,1088,85,0
608460,CALIFORNIA,2683,87,0
608550,CALIFORNIA,226,86,0
608760,CALIFORNIA,578,97,1
608970,CALIFORNIA,111,72,0
609030,CALIFORNIA,2779,93,1
609070,CALIFORNIA,1287,78,0
609120,CALIFORNIA,309,73,0
609390,CALIFORNIA,1614,78,0
609570,CALIFORNIA,114,77,0
609620,CALIFORNIA,1676,57,0
609640,CALIFORNIA,1835,96,1
609665,CALIFORNIA,7,50,0
609690,CALIFORNIA,165,87,0
609810,CALIFORNIA,251,86,0
609850,CALIFORNIA,4237,91,1
609870,CALIFORNIA,266,95,1
609940,CALIFORNIA,510,79,0
610050,CALIFORNIA,1306,93,1
610260,CALIFORNIA,606,88,0
610350,CALIFORNIA,269,78,0
610620,CALIFORNIA,699,95,1
610680,CALIFORNIA,7,50,0
610770,CALIFORNIA,268,90,1
610860,CALIFORNIA,991,91,1
611040,CALIFORNIA,222,67,0
611110,CALIFORNIA,2307,86,0
611280,CALIFORNIA,328,80,0
611460,CALIFORNIA,2091,91,1
611520,CALIFORNIA,338,92,1
611700,CALIFORNIA,16,80,0
611730,CALIFORNIA,82,95,1
611780,CALIFORNIA,73,95,1
611820,CALIFORNIA,5887,80,0
611870,CALIFORNIA,36,90,1
612070,CALIFORNIA,1773,95,1
612120,CALIFORNIA,2309,86,0
612180,CALIFORNIA,847,88,0
612210,CALIFORNIA,319,95,1
612330,CALIFORNIA,4693,86,0
612630,CALIFORNIA,41,74.5,0
612840,CALIFORNIA,245,93,1
612910,CALIFORNIA,1781,84,0
612930,CALIFORNIA,97,87,0
613230,CALIFORNIA,279,81,0
613360,CALIFORNIA,1491,88,0
613470,CALIFORNIA,75,87,0
613530,CALIFORNIA,740,84,0
613800,CALIFORNIA,277,86,0
613840,CALIFORNIA,178,92,1
613890,CALIFORNIA,1359,91,1
613920,CALIFORNIA,3138,82,0
614070,CALIFORNIA,119,92,1
614190,CALIFORNIA,273,92,1
614250,CALIFORNIA,178,95,1
614400,CALIFORNIA,2205,90,1
614430,CALIFORNIA,2487,94,1
614550,CALIFORNIA,4792,75,0
614760,CALIFORNIA,3569,91,1
614820,CALIFORNIA,535,81,0
614880,CALIFORNIA,3861,88,0
614950,CALIFORNIA,230,90,1
615150,CALIFORNIA,7,NA,1
615180,CALIFORNIA,825,85,0
615240,CALIFORNIA,2331,88,0
615270,CALIFORNIA,638,96,1
616230,CALIFORNIA,4514,77,0
616323,CALIFORNIA,145,82,0
616325,CALIFORNIA,1656,90,1
616500,CALIFORNIA,887,80,0
616740,CALIFORNIA,1314,71,0
616920,CALIFORNIA,1842,80,0
617220,CALIFORNIA,176,92,1
617430,CALIFORNIA,144,92,1
618060,CALIFORNIA,3823,94,1
618210,CALIFORNIA,213,94,1
618390,CALIFORNIA,1005,76,0
618930,CALIFORNIA,1186,89,0
618990,CALIFORNIA,130,87,0
619110,CALIFORNIA,46,74.5,0
619260,CALIFORNIA,1505,82,0
619320,CALIFORNIA,147,92,1
619490,CALIFORNIA,301,84,0
619540,CALIFORNIA,9025,81,0
619650,CALIFORNIA,470,80,0
619700,CALIFORNIA,612,87,0
619830,CALIFORNIA,256,94,1
619950,CALIFORNIA,78,77,0
620070,CALIFORNIA,182,87,0
620130,CALIFORNIA,332,95,1
620220,CALIFORNIA,28,69.5,0
620370,CALIFORNIA,248,98,1
620640,CALIFORNIA,327,90,1
620670,CALIFORNIA,124,92,1
621000,CALIFORNIA,1003,95,1
621060,CALIFORNIA,210,85,0
621150,CALIFORNIA,49,84.5,0
621270,CALIFORNIA,140,87,0
621400,CALIFORNIA,471,88,0
621600,CALIFORNIA,1724,86,0
621690,CALIFORNIA,662,88,0
621810,CALIFORNIA,176,87,0
621870,CALIFORNIA,302,74,0
622050,CALIFORNIA,134,92,1
622110,CALIFORNIA,1127,91,1
622230,CALIFORNIA,2064,81,0
622410,CALIFORNIA,664,87,0
622440,CALIFORNIA,42,90,1
622500,CALIFORNIA,6740,80,0
622590,CALIFORNIA,852,95,1
622710,CALIFORNIA,43098,67,0
622740,CALIFORNIA,605,89,0
622800,CALIFORNIA,776,97,1
622860,CALIFORNIA,52,90,1
623080,CALIFORNIA,872,90,1
623160,CALIFORNIA,1267,71,0
623340,CALIFORNIA,1174,86,0
623530,CALIFORNIA,92,77,0
623610,CALIFORNIA,1756,89,0
623820,CALIFORNIA,24,69.5,0
623940,CALIFORNIA,162,92,1
624030,CALIFORNIA,405,87,0
624090,CALIFORNIA,723,77,0
624150,CALIFORNIA,30,80,0
624230,CALIFORNIA,228,78,0
624480,CALIFORNIA,45,90,1
624500,CALIFORNIA,790,92,1
624660,CALIFORNIA,2348,93,1
624750,CALIFORNIA,154,92,1
625150,CALIFORNIA,3525,78,0
625190,CALIFORNIA,57,84.5,0
625230,CALIFORNIA,196,82,0
625320,CALIFORNIA,520,85,0
625470,CALIFORNIA,2599,80,0
625530,CALIFORNIA,759,84,0
625690,CALIFORNIA,663,89,0
625800,CALIFORNIA,2534,75,0
625830,CALIFORNIA,639,88,0
625860,CALIFORNIA,663,84,0
626100,CALIFORNIA,121,62,0
626310,CALIFORNIA,904,94,1
626370,CALIFORNIA,2318,81,0
626490,CALIFORNIA,135,92,1
626640,CALIFORNIA,1300,88,0
626760,CALIFORNIA,74,77,0
626880,CALIFORNIA,866,89,0
626910,CALIFORNIA,1146,81,0
627060,CALIFORNIA,514,89,0
627200,CALIFORNIA,209,91,1
627240,CALIFORNIA,1757,94,1
627590,CALIFORNIA,393,80,0
627690,CALIFORNIA,1492,92,1
627720,CALIFORNIA,587,91,1
627850,CALIFORNIA,366,96,1
628050,CALIFORNIA,2761,59,0
628250,CALIFORNIA,1480,84,0
628270,CALIFORNIA,242,86,0
628650,CALIFORNIA,2497,93,1
629130,CALIFORNIA,606,89,0
629190,CALIFORNIA,2,NA,1
629270,CALIFORNIA,3837,82,0
629370,CALIFORNIA,140,95,1
629490,CALIFORNIA,1188,86,0
629550,CALIFORNIA,1743,84,0
629610,CALIFORNIA,966,95,1
629640,CALIFORNIA,254,70,0
629700,CALIFORNIA,1059,98,1
629820,CALIFORNIA,362,86,0
629850,CALIFORNIA,1265,78,0
629910,CALIFORNIA,209,78,0
629940,CALIFORNIA,1391,79,0
630030,CALIFORNIA,426,81,0
630210,CALIFORNIA,2195,84,0
630250,CALIFORNIA,790,91,1
630330,CALIFORNIA,201,99,1
630360,CALIFORNIA,90,92,1
630600,CALIFORNIA,744,70,0
